ID,Title,Location,Salary,Summary
55a19c92c845685e,Developer / Designer recruit,마이뮤직테이스트 서울 논현동,,"language (i.e Python, Ruby, Java, .Net... High proficiency in Python... knowledge... least one Python web framework..."
0d207415a075d21c,Data Scientist (KOREA),No Deviation Pte Ltd 충청북도 청주,,"data visualization - Experience using tools... SAS JMP, Python, Matlab, KNIME, and SIMCA - Experience with developing..."
5fe7667a0deebbba,Operation Buyer(Contractor),Edwards Korea Ltd 충청남도 천안,,"programming languages or statistical software – ex) C++, Python, VBA, R, MATLAB, Minitab, SPC Passionate people create..."
89f3e10d77a126bf,Field Service Engineer,Nearfield Instruments 대한민국,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
7af54571a6a84047,Assistant Professor of Computational and...,George Mason University Korea 인천 송도동,,"have experience in teaching with R, Python, Matlab, Fortran, and MySQL... teaching with R, Python, Matlab, Fortran..."
39e99c8ed1d40a8f,2021 토스 전 계열사 대규모,비바리퍼블리카 서울 강남구,,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신...
aa4f54d9c677fd73,인프라보안,NHN 4.4 성남 판교역,,"영역별 취약점에 대한 충분한 이해 - CVE 보안취약점 분석 및 대응 역량 - C, Java, Python 등을 통한 업무 자동화 및 분석도구 개발 경험 - 리버스 엔지니어링에 능숙하거나 다수의 버그바..."
c54efba262d86ecc,[EY컨설팅] 컨설팅본부 Data & Analytics팀 경력 컨설턴트...,Ernst & Young 4.0 대한민국,,"분석 컨설팅 - 데이터 전처리, 머신러닝, 딥러닝 및 통계적 분석 프로그램 개발 * 필수 자격 - SQL, Python, R을 활용한 데이터 전처리 및 분석 모델링 경험자 - 통계 분석, ML, DL의 지식 보유..."
eeb9fe1c361f0758,정보보안 담당자,Nexon 성남 분당구,,보안 이벤트 분석 또는 상관관계 이벤트 분석 능력 보유 - OS 및 네트워크 관련 기초 지식 보유 - python 등의 간단한 스크립트 작성 능력보유 - 타인과의 원활한 커뮤니케이션 자세 - 새로운 기술에 대한 적극적...
a64e1e21f61265ce,각 분야별 인재 Pool 등록,지투알 서울,,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 - 담당..."
